"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 06:09:28 UTC 2024","Tue May 07 06:09:33 UTC 2024","5167","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Tue May 07 08:26:59 UTC 2024","Tue May 07 08:26:59 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"broken","Tue May 07 06:27:37 UTC 2024","Tue May 07 06:27:37 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Tue May 07 06:55:09 UTC 2024","Tue May 07 06:55:11 UTC 2024","2373","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Tue May 07 08:26:59 UTC 2024","Tue May 07 08:26:59 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Tue May 07 06:27:37 UTC 2024","Tue May 07 06:27:37 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue May 07 06:09:12 UTC 2024","Tue May 07 06:09:26 UTC 2024","14842","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Tue May 07 06:42:20 UTC 2024","Tue May 07 06:42:31 UTC 2024","10431","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Tue May 07 08:26:59 UTC 2024","Tue May 07 08:26:59 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue May 07 05:48:00 UTC 2024","Tue May 07 05:48:16 UTC 2024","15973","","9. Client Portal - Home","","","","1. Check links",""
"skipped","Tue May 07 06:04:30 UTC 2024","Tue May 07 06:04:30 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue May 07 06:06:47 UTC 2024","Tue May 07 06:07:05 UTC 2024","18111","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"broken","Tue May 07 06:04:30 UTC 2024","Tue May 07 06:04:30 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Tue May 07 06:09:33 UTC 2024","Tue May 07 06:09:35 UTC 2024","1528","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue May 07 07:29:58 UTC 2024","Tue May 07 07:30:18 UTC 2024","19680","","21. Forgot password function","","","","2. Reset password",""
"passed","Tue May 07 06:42:08 UTC 2024","Tue May 07 06:42:11 UTC 2024","2897","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Tue May 07 06:42:31 UTC 2024","Tue May 07 06:42:32 UTC 2024","1442","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"skipped","Tue May 07 06:27:37 UTC 2024","Tue May 07 06:27:37 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue May 07 07:29:54 UTC 2024","Tue May 07 07:29:58 UTC 2024","4223","","21. Forgot password function","","","","1. Direct to forgot password page",""
"failed","Tue May 07 06:42:54 UTC 2024","Tue May 07 06:45:26 UTC 2024","152276","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Tue May 07 06:04:30 UTC 2024","Tue May 07 06:04:30 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Tue May 07 06:48:15 UTC 2024","Tue May 07 06:52:25 UTC 2024","250044","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue May 07 06:41:57 UTC 2024","Tue May 07 06:42:08 UTC 2024","10421","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue May 07 06:42:14 UTC 2024","Tue May 07 06:42:16 UTC 2024","2161","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Tue May 07 06:54:44 UTC 2024","Tue May 07 06:54:59 UTC 2024","15040","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue May 07 06:48:00 UTC 2024","Tue May 07 06:48:15 UTC 2024","14885","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Tue May 07 06:04:30 UTC 2024","Tue May 07 06:04:30 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Tue May 07 06:42:32 UTC 2024","Tue May 07 06:42:44 UTC 2024","11521","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue May 07 06:55:11 UTC 2024","Tue May 07 06:55:16 UTC 2024","4233","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Tue May 07 06:09:26 UTC 2024","Tue May 07 06:09:28 UTC 2024","1374","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Tue May 07 06:07:23 UTC 2024","Tue May 07 06:07:42 UTC 2024","18644","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Tue May 07 06:27:37 UTC 2024","Tue May 07 06:27:37 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Tue May 07 06:07:23 UTC 2024","Tue May 07 06:07:23 UTC 2024","188","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue May 07 06:42:44 UTC 2024","Tue May 07 06:42:54 UTC 2024","10039","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Tue May 07 06:42:16 UTC 2024","Tue May 07 06:42:20 UTC 2024","4715","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue May 07 06:07:05 UTC 2024","Tue May 07 06:07:23 UTC 2024","18306","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"skipped","Tue May 07 08:26:59 UTC 2024","Tue May 07 08:26:59 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue May 07 06:42:11 UTC 2024","Tue May 07 06:42:13 UTC 2024","2811","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Tue May 07 05:45:17 UTC 2024","Tue May 07 05:46:22 UTC 2024","64300","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Tue May 07 06:04:30 UTC 2024","Tue May 07 06:04:30 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"failed","Tue May 07 06:31:25 UTC 2024","Tue May 07 06:31:43 UTC 2024","18637","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
